Municipio,UF,Post/Coment,Data,Usuario,Comentarios,Emojis,Texto,Unicodes,ComentarioTraduzido,Polaridade,Analise,Subjetividade
Ijui,RS,Comentario,2022-09-01 13:58:32,gianicevalle,Parabéns a todos! 🇧🇷🇧🇷precisamos resgatar esse amor a nossa pátria!,,Parabéns a todos! 🇧🇷🇧🇷precisamos resgatar esse amor a nossa pátria!,[],Congratulations to all of you! 🇧🇷🇧🇷 We need to rescue this love to our homeland!,0.625,Positivo,0.6
Ijui,RS,Comentario,2022-09-01 15:18:44,marcelorigoli,Faltou o agradecimento aos Avengers que salvaram ele na semana passada,,Faltou o agradecimento aos Avengers que salvaram ele na semana passada,[],Thanks to the Avengers who saved him last week,0.1,Positivo,0.133
Ijui,RS,Comentario,2022-09-01 01:35:19,tfalmeida22,👏 👏 👏 👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.4,Positivo,0.0
Ijui,RS,Comentario,2022-09-01 02:49:58,michellrichard2021,Show!!! Mas o ideal seria publicar qual poderia ser escolhida a melhor gasolina,,Show!!! Mas o ideal seria publicar qual poderia ser escolhida a melhor gasolina,[],Show!!! But the ideal would be to publish which could be chosen the best gasoline,0.95,Positivo,0.65
Ijui,RS,Comentario,2022-09-01 11:30:52,wendtalexandre,Parabens 👏 👏 👏,👏,Parabens,"['U0001f44f', 'U0001f44f', 'U0001f44f']",Congratulations,0.6,Positivo,0.0
Ijui,RS,Comentario,2022-09-02 03:38:25,adrianodemoura1453,Quero,,Quero,[],I want,0.0,Neutro,0.0
Ijui,RS,Comentario,2022-08-30 14:53:13,leoclaudyy,🙌 🙌 👏 👏 Viva a nação BRASILEIRA 🙌,🙌👏,Viva a nação BRASILEIRA,"['U0001f64c', 'U0001f64c', 'U0001f44f', 'U0001f44f', 'U0001f64c']",Live the Brazilian Nation,1.136,Positivo,0.5
Ijui,RS,Comentario,2022-08-30 16:32:41,regishozer,,,,[],,0.0,Neutro,0.0
Ijui,RS,Comentario,2022-08-29 15:39:46,adrianodemoura1453,🙌 😢,🙌😢,,"['U0001f64c', 'U0001f622']",,0.1,Positivo,0.0
Ijui,RS,Comentario,2022-08-29 17:31:53,a.dalsasso,Parabéns a  pela iniciativa. Foi memorável!,,Parabéns a pela iniciativa. Foi memorável!,[],Congratulations to the initiative. It was memorable!,0.625,Positivo,1.0
Ijui,RS,Comentario,2022-08-30 00:43:41,fer.cosplay,Foi incrível 😍,😍,Foi incrível,['U0001f60d'],It was amazing,0.8,Positivo,0.9
Ijui,RS,Comentario,2022-08-29 20:46:17,steurerfabiane,que idade estão vacinando?,,que idade estão vacinando?,[],What age are vaccinating?,0.0,Neutro,0.0
Ijui,RS,Comentario,2022-08-31 22:46:20,rrosemacedo,Parabéns pela atitude 👏 👏 👏 👏,👏,Parabéns pela atitude,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",Congratulations on the attitude,0.8,Positivo,0.0
Ijui,RS,Comentario,2022-08-29 07:29:04,veryvestenafotografia,Infelizmente não sabia. Perdi essa.,,Infelizmente não sabia. Perdi essa.,[],Unfortunately I didn't know. I lost this one.,-0.5,Negativo,1.0
Ijui,RS,Comentario,2022-08-28 23:54:39,patriciafuculo,👏 👏 👏 👏 ❤ ️,👏❤,️,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'u2764']",️,1.0,Positivo,0.0
Ijui,RS,Comentario,2022-08-29 01:16:41,jakeotavio2014,👏 👏 👏 parabéns...estava show!,👏,parabéns...estava show!,"['U0001f44f', 'U0001f44f', 'U0001f44f']",Congratulations ... it was a show!,0.6,Positivo,0.0
Ijui,RS,Comentario,2022-08-29 14:45:18,edvanda_camargo,❤ ️ ❤ ️,❤,️ ️,"['u2764', 'u2764']",️ ️,0.4,Positivo,0.0
Ijui,RS,Comentario,2022-08-29 01:44:48,rogereade,👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,0.8,Positivo,0.0
Ijui,RS,Comentario,2022-08-29 12:54:29,eloaportolan,Parabéns estava muito lindo 😍 😍 😍,😍,Parabéns estava muito lindo,"['U0001f60d', 'U0001f60d', 'U0001f60d']",Congratulations was very beautiful,1.6,Positivo,1.0
Ijui,RS,Comentario,2022-08-29 00:04:19,tere_escaio,InfelizmenteNão sabia!,,InfelizmenteNão sabia!,[],Unfortunately I didn't know!,-0.625,Negativo,1.0
Ijui,RS,Comentario,2022-08-29 00:04:56,tere_escaio,Muito legal! 👏 👏,👏,Muito legal!,"['U0001f44f', 'U0001f44f']",Very cool!,0.969,Positivo,0.845
Ijui,RS,Comentario,2022-08-29 01:26:01,fabriciocosta65,Estou ansioso pro proximo,,Estou ansioso pro proximo,[],I am looking forward to next,0.0,Neutro,0.0
Ijui,RS,Comentario,2022-08-28 23:51:32,vanessa.n.rodrigues,Domingo top 👏,👏,Domingo top,['U0001f44f'],Top Sunday,0.7,Positivo,0.5
Ijui,RS,Comentario,2022-08-28 18:29:53,gasparotto.rs,🙌 👏 👏 👏,🙌👏,,"['U0001f64c', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,0.8,Positivo,0.0
Ijui,RS,Comentario,2022-08-28 20:43:17,thieleteixeira,"👏 👏 👏 👏 tava muito bom, parabéns",👏,"tava muito bom, parabéns","['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']","It was very good, congratulations",1.71,Positivo,0.78
Ijui,RS,Comentario,2022-08-28 21:34:31,marialosangelanunes,👏 👏 👏 👏 que show,👏,que show,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",what a show,0.8,Positivo,0.0
Ijui,RS,Comentario,2022-08-28 22:23:54,fabemour,👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f']",,0.6,Positivo,0.0
Ijui,RS,Comentario,2022-08-28 23:40:17,cristyannegross,👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f']",,0.6,Positivo,0.0
Ijui,RS,Comentario,2022-08-29 12:55:19,eloaportolan,😍 😍 👏 👏 👏 👏,😍👏,,"['U0001f60d', 'U0001f60d', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.2,Positivo,0.0
Ijui,RS,Comentario,2022-08-28 13:14:20,bernadete_za,👏 ❤ ️,👏❤,️,"['U0001f44f', 'u2764']",️,0.4,Positivo,0.0
Ijui,RS,Comentario,2022-08-26 19:35:33,simone.nicoletti.142,👏 👏,👏,,"['U0001f44f', 'U0001f44f']",,0.4,Positivo,0.0
Ijui,RS,Comentario,2022-08-26 19:47:07,nedissongessi,Parabéns e sucesso,,Parabéns e sucesso,[],Congratulations and success,0.3,Positivo,0.0
Ijui,RS,Comentario,2022-08-26 19:59:55,davanti_store,👏 👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.0,Positivo,0.0
Ijui,RS,Comentario,2022-08-26 20:00:54,bem_seguro,👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,0.8,Positivo,0.0
Ijui,RS,Comentario,2022-08-26 22:16:53,by_raque,"👏 👏 👏 minha terra natal linda! Só desejo bençãos, alegrias do renovo e sucesso! 💐",👏💐,"minha terra natal linda! Só desejo bençãos, alegrias do renovo e sucesso!","['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f490']","My beautiful homeland! I only wish blessings, joys of renewal and success!",1.258,Positivo,0.667
Ijui,RS,Comentario,2022-08-26 21:13:39,bbiancaely,👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,0.8,Positivo,0.0
Ijui,RS,Comentario,2022-08-28 20:28:45,marcoaureliosikacz,👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f']",,0.6,Positivo,0.0
Ijui,RS,Comentario,2022-08-26 22:15:23,bernadete_za,👏 🙌 ❤ ️,👏🙌❤,️,"['U0001f44f', 'U0001f64c', 'u2764']",️,0.6,Positivo,0.0
Ijui,RS,Comentario,2022-08-27 02:59:44,cma_ijui,👏 👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.0,Positivo,0.0
Ijui,RS,Comentario,2022-08-27 10:58:56,mecautor,👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f']",,0.6,Positivo,0.0
Ijui,RS,Comentario,2022-08-26 21:55:37,tatiwagner,Que trabalho lindo! Que iniciativa maravilhosa! Fico até emocionada em ouvir uma reportagem assim! Parabéns Andrei Ijuí merece! É só saber explorar! Só vai 🚀 🚀 🚀 🚀 🔝 💯 💯 💯 💯,🚀🔝💯,Que trabalho lindo! Que iniciativa maravilhosa! Fico até emocionada em ouvir uma reportagem assim! Parabéns Andrei Ijuí merece! É só saber explorar! Só vai,"['U0001f680', 'U0001f680', 'U0001f680', 'U0001f680', 'U0001f51d', 'U0001f4af', 'U0001f4af', 'U0001f4af', 'U0001f4af']",What a beautiful job! What a wonderful initiative! I'm even thrilled to hear such a report! Congratulations Andrei Ijuí deserves! Just know how to explore! Only goes,1.12,Positivo,0.84
Ijui,RS,Comentario,2022-08-26 17:44:58,jamaicasantos33,Falto o Hulk meu nene adora,,Falto o Hulk meu nene adora,[],I miss Hulk my nene loves,0.0,Neutro,0.0
Acaiaca,MG,Comentario,2021-04-10 00:29:50,andreia.marinho.75436,👏 👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.0,Positivo,0.0
Acaiaca,MG,Comentario,2021-04-08 01:30:53,cleo_dias26,Tem dengue em Acaiaca??,,Tem dengue em Acaiaca??,[],Do you have dengue in Acaiaca ??,0.0,Neutro,0.0
Acaiaca,MG,Comentario,2021-04-08 06:25:27,mpilar491,Misericórdia!,,Misericórdia!,[],Compassion!,0.0,Neutro,0.0
Águas Frias,SC,Comentario,2019-11-29 14:16:19,jefersonjefeds,👏 👏 👏 👏 ,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,0.8,Positivo,0.0
Águas Frias,SC,Comentario,2019-11-21 03:04:26,ednasenczkowski,,,,[],,0.0,Neutro,0.0
Águas Frias,SC,Comentario,2019-10-11 14:52:43,sarardaga,Parabéns 👏 👏 👏 👏,👏,Parabéns,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",Congratulations,0.8,Positivo,0.0
Águas Frias,SC,Comentario,2019-10-11 17:03:44,maiquelevicente,👏 👏,👏,,"['U0001f44f', 'U0001f44f']",,0.4,Positivo,0.0
Águas Frias,SC,Comentario,2019-10-11 14:56:43,deizigalleazzi, ❤ ️,❤,️,['u2764'],️,0.2,Positivo,0.0
Águas Frias,SC,Comentario,2019-10-09 16:04:37,alieteantoniak,👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f']",,0.6,Positivo,0.0
Águas Frias,SC,Comentario,2019-10-07 15:45:02,juucassol,👏 👏 👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.2,Positivo,0.0
Águas Frias,SC,Comentario,2019-10-07 19:49:19,edmassessoria,😉 🙌 🎉 👏 👏 👏 👏 👏 👏,😉🙌🎉👏,,"['U0001f609', 'U0001f64c', 'U0001f389', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.8,Positivo,0.0
Águas Frias,SC,Comentario,2019-10-01 23:10:42,instagammer003, se fosse p escolher seria a kamilly 😍,😍,se fosse p escolher seria a kamilly,['U0001f60d'],If it were P Choosing it would be Kamilly,0.2,Positivo,0.0
Águas Frias,SC,Comentario,2019-10-02 03:29:54,brenocoleti, ❤,❤,,['u2764'],,0.2,Positivo,0.0
Águas Frias,SC,Comentario,2019-10-02 12:56:55,borillegabriel_05, na torcida! 💕,💕,na torcida!,['U0001f495'],cheering!,0.2,Positivo,0.0
Águas Frias,SC,Comentario,2019-10-03 10:00:21,alee_simon02, torço por ti ❤ ️,❤,torço por ti ️,['u2764'],I hope for you ️,0.2,Positivo,0.0
Águas Frias,SC,Comentario,2019-09-19 21:27:16,sarasegalacardozo,👏 👏 👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.2,Positivo,0.0
Águas Frias,SC,Comentario,2019-08-25 09:35:39,denisdionata,👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,0.8,Positivo,0.0
Águas Frias,SC,Comentario,2019-08-19 21:04:56,jaquelmac,👋,👋,,['U0001f44b'],,0.2,Positivo,0.0
Águas Frias,SC,Comentario,2019-08-13 22:05:57,jacopzo,Tá fincando bonito 👏 🏼 👊 🏻,👏🏼👊🏻,Tá fincando bonito,"['U0001f44f', 'U0001f3fc', 'U0001f44a', 'U0001f3fb']",It's pretty pretty,0.65,Positivo,1.0
Águas Frias,SC,Comentario,2019-08-13 22:05:58,jacopzo,Tá fincando bonito 👏 🏼 👊 🏻,👏🏼👊🏻,Tá fincando bonito,"['U0001f44f', 'U0001f3fc', 'U0001f44a', 'U0001f3fb']",It's pretty pretty,0.65,Positivo,1.0
Águas Frias,SC,Comentario,2019-08-03 10:16:59,gilmar.goncalve,💪 💪 💪 👏 👏 👏,💪👏,,"['U0001f4aa', 'U0001f4aa', 'U0001f4aa', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.2,Positivo,0.0
Agudo,RS,Comentario,2022-09-19 13:09:09,pousada_mate_e_cafe,"👏 👏 👏 😍 como APLAUDIR aos que fazem,aos que se importam,aos que realizam. 👏 👏 👏 👏 👏 🌹 😘",👏😍🌹😘,"como APLAUDIR aos que fazem,aos que se importam,aos que realizam.","['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f60d', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f339', 'U0001f618']","How to applaud to those who do, those who care, to those who do.",2.2,Positivo,0.0
Agudo,RS,Comentario,2022-09-19 13:31:16,veramariakittel,Que showwww! 💛 💛 👏 🏻 👏 🏻 👏 🏻 👏 🏻,💛👏🏻,Que showwww!,"['U0001f49b', 'U0001f49b', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",What a showww!,1.2,Positivo,0.0
Agudo,RS,Comentario,2022-09-19 14:11:52,meneghettitais,"Foi uma tarde de aprendizado, interação e muito movimento! Movimento esse que dá ânimo, previne doenças e dá sentido a vida , com amizades, parcerias e diversão! Sou parceira dessas atividades 🙌 😍 👏 👏 👏",🙌😍👏,"Foi uma tarde de aprendizado, interação e muito movimento! Movimento esse que dá ânimo, previne doenças e dá sentido a vida , com amizades, parcerias e diversão! Sou parceira dessas atividades","['U0001f64c', 'U0001f60d', 'U0001f44f', 'U0001f44f', 'U0001f44f']","It was an afternoon of learning, interaction and a lot of movement! This movement that gives mood, prevents disease and gives meaning to life, with friendships, partnerships and fun! I am a partner of these activities",1.375,Positivo,0.2
Agudo,RS,Comentario,2022-09-16 22:57:40,marileneprader,👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f']",,0.6,Positivo,0.0
Agudo,RS,Comentario,2022-09-17 20:44:15,elianelehr20,Parabéns 👏 👏 👏,👏,Parabéns,"['U0001f44f', 'U0001f44f', 'U0001f44f']",Congratulations,0.6,Positivo,0.0
Agudo,RS,Comentario,2022-09-16 20:24:00,renatacarvalhok,👏 👏 👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.2,Positivo,0.0
Agudo,RS,Comentario,2022-09-16 21:01:44,dasilvapuhl,👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,0.8,Positivo,0.0
Agudo,RS,Comentario,2022-09-17 01:58:18,camilaaunfer,Parabéns!!! 👏 👏 👏,👏,Parabéns!!!,"['U0001f44f', 'U0001f44f', 'U0001f44f']",Congratulations!!!,0.6,Positivo,0.0
Agudo,RS,Comentario,2022-09-17 10:50:59,jefersonstahl,👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,0.8,Positivo,0.0
Agudo,RS,Comentario,2022-09-16 23:09:06,eder.eliana_,Kkkkkkk,,Kkkkkkk,[],Hahahahaha,0.2,Positivo,0.6
Agudo,RS,Comentario,2022-09-17 22:13:41,lisaniseiffert,👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f']",,0.6,Positivo,0.0
Agudo,RS,Comentario,2022-09-18 01:03:09,simone_hoppee,Parabéns!!! 👏 👏 👏,👏,Parabéns!!!,"['U0001f44f', 'U0001f44f', 'U0001f44f']",Congratulations!!!,0.6,Positivo,0.0
Agudo,RS,Comentario,2022-09-16 22:30:56,elisamb_,👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f']",,0.6,Positivo,0.0
Agudo,RS,Comentario,2022-09-18 02:07:26,evelyn.aguirre.2022,Grande evolução sin,,Grande evolução sin,[],Great Sin Evolution,0.8,Positivo,0.75
Agudo,RS,Comentario,2022-09-16 21:20:44,lucibeling,👏 👏 👏 👏 👏 👏 ❤ ️,👏❤,️,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'u2764']",️,1.4,Positivo,0.0
Agudo,RS,Comentario,2022-09-17 22:15:44,astadrescher,"Orgulho desse nosso AGUDO, graças ao nosso Prefeito e Vice. PARABÉNS 👏",👏,"Orgulho desse nosso AGUDO, graças ao nosso Prefeito e Vice. PARABÉNS",['U0001f44f'],"Pride of our sharp our, thanks to our mayor and vice. HAPPY BIRTHDAY",0.492,Positivo,0.65
Agudo,RS,Comentario,2022-09-17 00:02:22,denisecavalheirobartmann,"Que maravilha, nosso município está evoluindo, parabéns administração pelo ótimo trabalho desenvolvido para o progresso do nosso município 🙏 👏 👏 👏",🙏👏,"Que maravilha, nosso município está evoluindo, parabéns administração pelo ótimo trabalho desenvolvido para o progresso do nosso município","['U0001f64f', 'U0001f44f', 'U0001f44f', 'U0001f44f']","How wonderful, our municipality is evolving, congratulations administration for the great work developed for the progress of our municipality",1.433,Positivo,0.683
Agudo,RS,Comentario,2022-09-18 16:39:47,fabianeboeck,Parabéns a administração. Valorizando a todos Agudenses.,,Parabéns a administração. Valorizando a todos Agudenses.,[],Congratulations to the Administration. Valuing everyone acudenses.,0.0,Neutro,0.0
Agudo,RS,Comentario,2022-09-16 22:07:04,wendt_simone,👏 👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.0,Positivo,0.0
Agudo,RS,Comentario,2022-09-16 22:42:28,pretzellisiane,Parabéns vai ficar muito bonito 👏 👏,👏,Parabéns vai ficar muito bonito,"['U0001f44f', 'U0001f44f']",Congratulations will be very beautiful,1.4,Positivo,1.0
Agudo,RS,Comentario,2022-09-17 11:48:53,rosanepotter,Vai ficar bom. Mas pergunto.... Agudo não tem outras prioridades básicas????,,Vai ficar bom. Mas pergunto.... Agudo não tem outras prioridades básicas????,[],It will be good. But I ask .... acute there is no other basic priorities ????,0.341,Positivo,0.5
Agudo,RS,Comentario,2022-09-16 18:07:50,renatacarvalhok,👏 👏 👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.2,Positivo,0.0
Agudo,RS,Comentario,2022-09-16 18:13:59,elen_m_m,Pode fazer visitas?,,Pode fazer visitas?,[],Can you make visits?,0.0,Neutro,0.0
Agudo,RS,Comentario,2022-09-15 23:27:23,veramariakittel,Parabéns! 👏 👏 👏 👏 👏,👏,Parabéns!,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",Congratulations!,1.0,Positivo,0.0
Agudo,RS,Comentario,2022-09-16 01:21:28,elen_m_m,👏 👏 👏 👏 👏 👏 👏 parabéns,👏,parabéns,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",Happy birthday,2.2,Positivo,1.0
Agudo,RS,Comentario,2022-09-15 23:23:45,veramariakittel,Muito bom! 👏 🏻 👏 🏻 👏 🏻 👏 🏻,👏🏻,Muito bom!,"['U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",Very good!,1.8,Positivo,0.78
Agudo,RS,Comentario,2022-09-15 21:15:47,gabrielspuhl,👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f']",,0.6,Positivo,0.0
Agudo,RS,Comentario,2022-09-15 21:31:55,djulines,Ficou lindoooo 👏 👏 🧡 💚,👏🧡💚,Ficou lindoooo,"['U0001f44f', 'U0001f44f', 'U0001f9e1', 'U0001f49a']",It was beautiful,1.45,Positivo,1.0
Agudo,RS,Comentario,2022-09-15 21:57:37,pyetrastahl,👏 🏻 👏 🏻 👏 🏻,👏🏻,,"['U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",,0.6,Positivo,0.0
Agudo,RS,Comentario,2022-09-15 23:17:38,kerlenroos,Ficou top demais!!,,Ficou top demais!!,[],It was too top !!,0.781,Positivo,0.5
Agudo,RS,Comentario,2022-09-16 01:02:12,sirlei.bender.7,Até que enfim Agudo tem um termômetro desses. 👏 👏 👏,👏,Até que enfim Agudo tem um termômetro desses.,"['U0001f44f', 'U0001f44f', 'U0001f44f']",Until finally it has such a thermometer.,0.6,Positivo,0.75
