Municipio,UF,Post/Coment,Data,Usuario,Legenda,Comentarios,Likes
Ijui,RS,Post,2022-09-14 12:51:35,prefeituradeijui,"Troca de Uniformes!
Uniformes poderão ser trocados no prédio da SMEd.
A Secretaria Municipal de Educação irá atender a troca de uniformes no prédio da secretaria a partir de segunda-feira (19). O atendimento estava sendo realizado no Quiosque da praça da República. “Não há mais essa necessidade, pois o fluxo diminuiu bastante, conseguimos atender direto na secretaria a partir de agora”, informou Luciana Deutchmann, adjunta da pasta.",,35.0
Ijui,RS,Post,2022-09-14 12:36:52,prefeituradeijui,"Acesa a Chama!
Iniciada a Semana Farroupilha em Ijuí

Em cerimônia realizada na Praça da República, ao final da tarde de terça, 13, foi acesa a Chama Crioula e iniciada a Semana Farroupilha em Ijuí. O Tema dos festejos Farroupilha deste ano é “Etnias do Gaúcho: Rio Grande, Terra de muitas Terras”. O desfile de 20 de setembro acontece na rua Benjamin Constant, às 9h.",,61.0
Ijui,RS,Post,2022-09-14 12:35:41,prefeituradeijui,"Inscrições abertas!
Curso de Corte e Costura tem 12 vagas abertas

Nesta quinta-feira, 15, iniciam as inscrições para Curso de Introdução ao Corte e Costura. Serão disponibilizadas 12 vagas. O Curso será realizado no CRAS Glória, uma parceria do Qualifica+Ijuí com SENAR e Sindicato Rural e Patronal de Ijuí. Interessados devem ter mais de 18 anos, possuir cadastro único, disponibilidade para o dia todo. Data do curso: 27 á 30 setembro (manhã e tarde).",,6.0
Ijui,RS,Post,2022-09-14 12:34:45,prefeituradeijui,"Meia entrada!
Jovens de baixa renda podem se cadastrar no ID Jovem

A ID Jovem é destinada às pessoas com idade entre 15 e 29 anos, pertencentes à família com renda mensal de até dois salários mínimos e inscritos no Cadastro Único do Governo Federal, com informações atualizadas há pelo menos 24 meses. O benefício vale também para não estudantes. A emissão do ID Jovem é virtual, mas quem não possui Cadastro Único deve procurar a SMDS para realizar o procedimento.

Público-Alvo: Jovens entre 15 e 29 anos de baixa renda. 

Requisitos: - Ter entre 15 e 29 anos;

Estar inscrito no Cadastro Único do Governo Federal; 

Estar com o Cadastro atualizado; 

Ter renda familiar de até dois salários mínimos; 

Saber o NIS",,4.0
Ijui,RS,Post,2022-09-14 12:33:50,prefeituradeijui,"Profissionalização!
Cursos Gratuitos Qualifica+Ijuí em parceria com SENAI

O Programa Qualifica+Ijuí e o SENAI estão oferecendo cursos de qualificação no município em diferentes áreas. As inscrições podem ser realizadas ainda esta semana no Setor de Desenvolvimento Econômico, junto ao Sine. Confira os cursos disponíveis:
Mecânica de Refrigeração domestica -  inicia dia 21/09 até 07/10 são 40 hras aula, ocorre das 13:30 as 17:30 - aulas de terça, quarta e quinta feiras.
Instalação e manutenção de AR SPLIT - inicio dia 11/10 até o dia 03/11 são 40 horas, ocorre das 13:30 as 17:30 - aulas de terça, quarta e quinta feiras.
Refrigeração Comercial e industrial - inicio dia 21/09 até 03/11 são 72 horas, ocorre das 18:30 as 22:30 - aulas de terça, quarta e quinta feiras.
Básico de Mecânica de Automóveis - inicio 27/09 até 10/11 são 100 horas aulas, ocorre das 13:30 as 17:30 - aulas de terças a sexta feira.
Básico para eletricidade automotiva -  inicio 26/09 até 09/11 são 100 horas aula, ocorre das 18:30 as 22:30 - aulas de segunda a quintas.
Para mais informações: 3332.7555",,8.0
Ijui,RS,Post,2022-09-14 12:32:29,prefeituradeijui,"Direção!
SMEd realiza reunião sobre processo de escolha de diretores

Aconteceu a reunião na EMI Solange Ana Copetti a reunião do processo de escolha diretores com a presença do secretário da SMEd, Cláudio Souza. Também foi discutido assuntos relacionados à campanha do Rotary, Canto de Luz, projeto político pedagógico, concurso de arte estudantil e mostra pedagógica durante a feira do livro. A maior ênfase da reunião foi o processo de escolha de diretores.",,7.0
Ijui,RS,Post,2022-09-13 12:24:10,prefeituradeijui,"Mais ação e menos latidos!
13 animais foram doados em mais uma feira de sucesso.

A Feira de Adoção organizada no último final de semana pela Secretaria Municipal de Meio Ambiente, demonstra na prática mais uma ação de governo em benefício dos animais. A SMMA faz o trabalho de vacinação e castração antes da adoção responsável. Neta feira, 13 animais receberam novos lares. O prefeito Andrei Cossetin, parabenizou a equipe envolvida, incentivando ações práticas e resolutivas para tratar o problema.",,12.0
Ijui,RS,Post,2022-09-13 12:17:22,prefeituradeijui,"Pronto Atendimento!
""Sempre fui bem atendida"", relata usuária da UPA

Nos primeiros 11 dias de setembro, a Unidade de Pronto Atendimento - UPA de Ijuí foram atendidas1759 pessoas. De acordo com o relatório apresentado pela coordenador da UPA, Tiago Zientarski, o tempo médio de espera da chegada do paciente até o primeiro atendimento é de 12 minutos e o tempo até a consulta com o médico é de 19 minutos.  Do total de pacientes atendidos apenas 3 casos foram de emergência, 216 de urgência, 1100 pouco urgente e 363 não urgentes. O tempo de espera para atendimento cai drasticamente no caso de pacientes em estado de emergência e urgência, quando o máximo é de 5 minutos.
De acordo com o coordenador da UPA, muitos atendimentos que chegam a UPA não são casos de emergência, são aquelas consultas que poderiam ser atendidas em postos de saúde, por exemplo. Hoje a UPA está atuando com 2 médicos 24 horas por dia e 3 médicos no período das 13h às 23h, além do todos os demais profissionais de enfermagem e auxiliares. Conforme Vânia Michaelson, que é parente de paciente da UPA e o acompanha nos atendimentos, o atendimento da UPA é exemplar. “Não posso me queixar, sempre fui muito bem atendida e com atendimento rápido quando precisamos”, disse a moradora do bairro Glória.",,9.0
Ijui,RS,Post,2022-09-13 12:16:16,prefeituradeijui,"De longa data!
Promessa de calçamento virou três mandatos e não acontecia segundo empresário.

O empresário Jeferson Gressler diz não ter acreditado quando viu o início das obras de calçamento em frente à sua oficina, na Rua Arthur Fuchs, segundo ele, a solicitação já havia “virado três mandatos” e nada acontecia. O trecho de pouco mais de 100 metros está sendo finalizado pela administração municipal e irá acabar com o alto volume de pó e barro vivenciado pelos usuários da via.",,13.0
Ijui,RS,Post,2022-09-13 12:15:05,prefeituradeijui,"Vencedores!
Time do Ijuí Pró-Vôlei é campeão da Liga Gaúcha

A equipe masculina principal do projeto Ijuí Pró-Vôlei foi campeã da etapa da Liga Gaúcha da Região 1, realizada no domingo dia, 11, no município de Carazinho/RS. O evento reuniu seis equipes de Ijuí, Panambi, Três Arroios, Não-Me-Toque e Carazinho. Essa é a segunda conquista da equipe ijuiense, que recentemente havia vencido em Santa Rosa. Em seis etapas disputadas no ano, essa foi a quarta final da Ijuí Pró-Vôlei. Com a pontuação alcançada nas etapas, os ijuienses assumiram a liderança da LRV-1, com 75 pontos.",,17.0
Ijui,RS,Post,2022-09-13 12:14:29,prefeituradeijui,"Abertura da Semana Farroupilha!
Ijuí realiza hoje a abertura das festividades do 20 de setembro.

Acontece hoje, 18:00h a abertura da Semana Farroupilha. O ato será na Praça da República com a distribuição da Chama Crioula. As entidades tradicionalistas terão programações diárias e o Desfile Cultural e Campeiro ocorre no dia 20 de setembro, às 9:00h. Na Praça da República está instalado um galpão crioulo onde a população poderá obter informações da programação cultural.",,12.0
Ijui,RS,Post,2022-09-13 12:13:12,prefeituradeijui,"Parceria a favor da Natureza!
Próximo de 2 toneladas de lixo eletrônico foram recolhidos por ação conjunta.

A Secretaria Municipal de Meio Ambiente, em parceria com a Eletrônica Spitzer e Lions Clube, contabilizou a coleta de 1800 kg de lixo eletrônico e 52 kg de Raio X. O material recolhido é destinado para o descarte correto, visando o menor impacto ambiental. “São parcerias como essa que viabilizam esses resultados. Agradecemos à Elétronica Spitzer e ao Lions pelo trabalho em conjunto”, proferiu Yuri Pilissão, secretario da SMMA.",,8.0
Ijui,RS,Post,2022-09-12 12:50:43,prefeituradeijui,"Campeonato Amador!
Rodada do final de semana foi marcada por goleadas
O Campeonato Amador de Futebol de Ijuí teve a realização da 3ª rodada no final de semana e foi marcado por goleadas. O Boca Juniors venceu o Farroupilha por 3 a 1, já o Talento ganhou do Benfica por 4 a 2, o Barcelona aplicou 3 a 0 no Botafogo B, a Afumisa ganhou de 4 a 2 do Palmeiras do Herval e o Palestino aplicou 4 a 0 no Ouro Preto. O único empate da rodada foi entre São José e Paris, em 1 a 1. A próxima rodada acontece no dia 18.",,6.0
Ijui,RS,Post,2022-09-12 12:24:37,prefeituradeijui,"Domingo em família!
Piquenique no Parque da Pedreira recebeu dezenas de famílias
Apesar do tempo nublado de domingo, um bom número de pessoas compareceu ao Parque da Pedreira prestigiar o piquenique que ocorreu com início às 15h. As famílias trouxeram lanches e passaram bons momentos no parque. Além do gramado as famílias também utilizaram áreas dos quiosques e a avaliação do evento foi positiva. Conforme Rosa Barbosa, coordenadora do Parque da Pedreira, “foi algo simples como compartilhar um lanche é algo memorável para as pessoas, que saem felizes daqui”, explicou.",,76.0
Ijui,RS,Post,2022-09-12 12:16:52,prefeituradeijui,"Regional de Tiro
Ijuí sediou a sétima etapa do Torneio Regional de Tiro Esportivo. O evento organizado pela SOGI contou com aproximadamente 100 participantes de toda a região. Dez categorias estavam concorrendo nas modalidades IPSC e Saque Rápido.",,19.0
Ijui,RS,Comentario,2022-09-13 15:36:41,ane_doces_e_salgados,,❤️,
Ijui,RS,Post,2022-09-12 12:07:00,prefeituradeijui,"Artesanato!
Curso de confecção de bonecas teve término
No CRAS GLÓRIA teve encerramento do Curso de confecção de bonecas de panos. Parceria do Qualifica+Ijuí com SENAR. Estiveram presentes representantes do SENAR, do Sindicato Rural e Patronal, Secretário de Desenvolvimento Social.",,9.0
Ijui,RS,Comentario,2022-09-12 16:42:54,bila.dutra16,,❤️👏,
Ijui,RS,Post,2022-09-12 12:06:04,prefeituradeijui,"Documentado!
Mais um espaço é regularizado pela Administração Municipal.
Aos moldes da regularização do Chaleira Preta, o prefeito Andrei Cossetin entregou o termo de Cessão para o Grupo Folclórico Fogo de Chão. A entidade passa a ter seu espaço regulamentado. O secretario de Planejamento e Regulação Urbana, Chico Ortiz, acompanhou a cerimônia de entrega do termo e explanou sobre a importância da regularidade e profissionalismo nas atividades exercidas pelo Grupo Folclórico.",,55.0
Ijui,RS,Comentario,2022-09-12 12:08:53,dr.andrey_criminalista,,👏,
Ijui,RS,Post,2022-09-12 12:05:04,prefeituradeijui,"Dignidade!
Instalações da ACATA recebe melhorias do Poder Público Municipal.
O Governo Municipal, através da Secretaria de Desenvolvimento Social e Secretaria de meio Ambiente, entregaram mais uma parte da obra para a Associação dos Catadores. A área interna da ACATA, antes contava com piso de chão batido, agora com intertravado. “São melhorias importantes, que proporcionam na prática melhores condições de trabalho. Ainda teremos uma horta comunitária no local”, comentou Zeca Busatto, secretário da SMDS.",,46.0
Ijui,RS,Comentario,2022-09-12 12:13:00,anaceratti,,👏👏👏👏 . Parabéns,
Ijui,RS,Post,2022-09-09 18:54:54,prefeituradeijui,"No canteiro de obras!
Prefeito Andrei Cossetin vistoria obras no bairro Getúlio Vargas
O prefeito Andrei Cossetin realizou na tarde desta sexta-feira, 9, vistorias em importantes obras que estão sendo realizadas em Ijuí. Literalmente no canteiro de obras, o prefeito pode observar de perto os trabalhos realizados no bairro Getúlio Vargas, onde está sendo executado obra de drenagem pluvial que vai acabar com problemas de anos com o qual a comunidade enfrentava a cada chuva. Cossetin também foi até as obras da rua Guilherme Timm, onde a rua está sendo preparada para receber pavimentação. Também receberão asfaltamento as ruas Vendelin Boniacowski, Wilson Barnewitz, Padre Ludwik Gazda, Ligia Regina Schneider, Frida Seidler, Helmuth Culik e Wilson Roni Teixeira. Durante a visita às obras o prefeito também conversou com a população do bairro. “São obras importantes, estamos atendendo demandas antigas, beneficiando a comunidade e melhorando a nossa cidade”, disse Cossetin.",,172.0
Ijui,RS,Comentario,2022-09-09 19:53:11,marcoaureliosikacz,,👏👏👏👏👏,
Ijui,RS,Comentario,2022-09-09 21:24:17,lorenicarneiro,,Parabéns 👏👏👏,
Ijui,RS,Comentario,2022-09-09 22:19:09,nildafidencio,,👏👏🙌😍,
Ijui,RS,Comentario,2022-09-10 00:26:27,rafaelcorrea.s8,,Obras em todo lugar 👏👏👏 top .aí sim,
Ijui,RS,Comentario,2022-09-12 03:44:24,dr.andrey_criminalista,,👏,
Ijui,RS,Post,2022-09-09 12:25:06,prefeituradeijui,"Coleta de Lixo Eletrônico
SMMA realiza mais uma coleta de lixo eletrônico.
A Secretaria Municipal de Meio Ambiente, em parceria com a Eletrônica Spitzer, SINDILOJAS e Lions Clube, realizará no sábado (10), a coleta de lixo eletrônico. O ponto será a Prefeitura Municipal entre 8:30h e 11:30h.",,9.0
Ijui,RS,Post,2022-09-09 12:14:52,prefeituradeijui,"Futuro da comunidade!
Obras do bairro Glória irão atender a demanda de diversos bairros
As obras que estão sendo realizadas junto ao campo do Glória é uma antiga demanda da comunidade. O local está recebendo calçada nos passeios públicos com piso intertravado, melhorias no campo e na sede do local. O campo é utilizado por pelo menos três times amadores da cidade. A estrutura atenderá a comunidade não só do Glória como dos bairros adjacentes. “está ficando muito bom, teremos um campo de futebol bem estruturado e local para lazer perto de casa”, contou Carlos Santos, que reside no bairro.",,20.0
Ijui,RS,Post,2022-09-09 12:13:34,prefeituradeijui,"Tiro Esportivo
Domingo ocorre a regional de Tiro Esportivo em Ijuí.
A SOGI sediará em Ijuí-RS, no próximo domingo (11), na sua sede de tiro, a 7a etapa do Regional de Tiro Esportivo, modalidade IPSC e Saque Rápido. Para participar da prova os interessados devem possuir o CR (CAC) e fazer a inscrição pelo e-mail administracao@sogiijui.com.br",,4.0
Ijui,RS,Post,2022-09-09 12:12:13,prefeituradeijui,"Piquenique da Primavera!
Evento ocorre no domingo no Parque da Pedreira

No domingo, 11, será realizado o Piquenique da Primavera, a partir das 15, na ala norte do Parque da Pedreira. Toda a comunidade está convidada a prestigiar o evento em família. Os interessados devem levar o “kit” piquenique e escolher seu lugar ao parque para passar a tarde. Todos os finais de semana o Parque da Pedreira vem recebendo um ótimo público que adotaram o local como uma das principais áreas de lazer da cidade.",,86.0
Ijui,RS,Post,2022-09-09 12:10:45,prefeituradeijui,"Velocross em Ijuí!
Etapa de Ijuí da Copa Yucumã ocorre no domingo
Neste domingo, dia 11, ocorre o 7º Velocross - Copa Yucumã de Motocross, etapa de Ijuí. As provas iniciam no domingo pela manhã. Os ingressos estão a venda na EuroMotos. O evento acontece na pista do Moto Clube Ijuí, ao lado do Parque de Exposições Wanderley Burmmann.",,3.0
Ijui,RS,Post,2022-09-08 12:28:27,prefeituradeijui,"Outubro Rosa 2022!
Rede Municipal de Saúde já está organizada para atender as mulheres em outubro.

O Secretário Municipal de Saúde, Márcio Strassburger, confirmou que o Outubro Rosa já está organizado com as equipes de saúde do município. As mulheres poderão realizar atendimentos todas as terças-feiras dias 04, 11, 18 e 25 de outubro, das 17h às 20h, em todas as Unidades de Saúde. O atendimento será realizado mediante agendamento prévio para os seguintes ítens:

1. Preventivos

2. Consultas médicas

3. Consultas Odontológicas

4. Consultas com Nutricionista - Auxílio Brasil

5. Testes Rápidos 

6. Vacinas",,5.0
Ijui,RS,Post,2022-09-08 12:27:38,prefeituradeijui,"Pela mesma causa!
CRRTEA recebe visita de representante da TEAmor.
O Centro Regional de Referência em Transtorno do Espectro Autista de Ijuí- CRRTEA recebeu a mãe e voluntária do TEAmor de Ijuí Cledi de Moraes para conhecer a sala do CRRTEA junto ao prédio do CAPS II e fazer a entrega de cerca de  70 quilos de alimentos arrecadados no evento ""Saberes e Práticas: Um olhar sobre o TEA na Educação Infantil""  realizado pelo Centro na última semana. O TEAmor é a Associação dos Familiares, Amigos e Autistas que além de desenvolver importante trabalho de acolhimento, articulação e conscientização sobre o TEA na sociedade, desenvolve projetos de apoio  as famílias de autistas em situação de vulnerabilidade social, pois muitas vezes a gravidade do transtorno dificulta ou impede a atividade laboral dos pais, em especial das mães, e muitas famílias contam apenas com o BPC como fonte de renda. Ao saber de uma campanha de arrecadação de alimentos não perecíveis, o CRRTEA se uniu a causa e propôs a doação espontânea de 1kg de alimento aos participante do evento, proposta que foi bem aceita pelo público e será repetida nas próximas ações. O CRRTEA busca sempre a aproximação e o diálogo  com as famílias e entidades do controle social como forma de unir esforços em prol da inclusão da pessoa autista na sociedade.",,17.0
Ijui,RS,Post,2022-09-08 12:21:31,prefeituradeijui,"Para ficar na história!
Desfile de 7 de Setembro teve participação de milhares de pessoas
O Desfile de 7 de Setembro realizado em Ijuí na quarta-feira, foi considerado o maior de todos os tempos já realizado na cidade, com a participação de mais de 6 mil pessoas desfilando entre civis e militares. Foram 23 escolas e grupos de escoteiros, 14 bandas marciais, 27º GAC, Brigada Militar, PRF e Bombeiros que passaram em desfile pela Benjamin Constant. Um grande público também esteve presente prestigiando o evento que comemorou os 200 anos de Independência do Brasil.",,201.0
Ijui,RS,Comentario,2022-09-08 13:44:31,nanda_arend94,,A enfermagem tbm participou se pra vcs não samos importante para Ijuí nós samos ….,
Ijui,RS,Comentario,2022-09-08 14:47:20,prefeituradeijui,,Parabéns! Bem organizados. 👍🏻,
Ijui,RS,Comentario,2022-09-08 19:52:11,dr.andrey_criminalista,,🙌🙌🔥🔥👏👏,
Ijui,RS,Post,2022-09-08 12:19:47,prefeituradeijui,"Futebol Amador
Campeonato Amador teve início em Ijuí
O Campeonato Municipal de Futebol Amador de Ijuí iniciou na noite do dia 6. Os jogos de abertura da competição aconteceram no Estádio da Montanha durante à noite e contou com a presença de um bom público. Na estreia se enfrentaram Palmeiras e Amigos da Vila Nova que empataram em 2 a 2 e na sequência a Afumisa goleou o Ouro Preto por 5 a 1. A próxima rodada acontece durante o final de semana.",,11.0
Ijui,RS,Post,2022-09-08 12:19:05,prefeituradeijui,"É muito Importante!
Vacinação contra a poliomielite é estendida até 30 de setembro.
Considerando as baixas coberturas alcançadas na Campanha de vacinação contra poliomielite e Multivacinação para atualização das cadernetas de vacinas das crianças e adolescentes menores de 15 anos, o Ministério da Saúde autorizou a prorrogação da campanha até o dia 30 de setembro. Desta forma, continuamos vacinando contra polio, as crianças de 1 a 4 anos, em todas as salas de vacinas, nos horários 7:30 às 11:00 horas e 13:30 às 16:30 horas, e também atendendo crianças e adolescentes menores de 15 anos para a Multivacinação e atualização das cadernetas de vacinas. A população deve procurar a sala de vacinas de sua referência com a caderneta de vacinas da criança ou adolescente. O Programa Nacional de Imunização alerta sobre a importância da vacinação para manutenção e eliminação da Poliomielite, e a necessidade para alcançar melhores coberturas vacinais.",,53.0
Ijui,RS,Post,2022-09-08 12:15:44,prefeituradeijui,"Cursos voltados a área de Turismo
Ainda há vagas disponíveis para inscrições

Cursos voltados a área de Turismo
Aconteceu segunda-feira, 5, na Estação de Cultura e Lazer, a aula inaugural dos Cursos da Trilha de Qualificação em Turismo, oferecidos de forma gratuita à comunidade Ijuiense, pelo Poder Executivo, através da Secretaria de Cultura Esporte e Turismo - SMCET.

Os Cursos serão ministrados pelo SENAC Ijuí, com apoio do SINDILOJAS. 
Mesmo que oferecidos de forma gratuita, ainda há vagas disponíveis.

A iniciativa partiu da Secretaria, como forma de proporcionar a qualificação de agentes para atuar no Setor do Turismo, por entender a necessidade da profissionalização das atividades turísticas para o melhor acolhimento aos visitantes e turistas à Capital Nacional das Etnias.

Os Cursos ofertados que ainda DISPÕE VAGAS são:
1) Recepcionista de eventos - 80h
2) Organizador de eventos - 90h
3) Técnicas de Serviço em recepção de hotelaria - 44h
4) Excelência em atendimento ao turista - 44h
5) Inglês para serviços de bar e restaurante - 120h
6) Espanhol para serviços de bar e restaurante - 120h

Nova chamada para inscrições está acontecendo, e vai até o dia11/09 (domingo).

Para se inscrever:
1) PRESENCIALMENTE:
Local: Escola SENAC - Rua 24 de fevereiro, 315- Centro, Ijuí/RS.
Das 13h às 17h30 - Seg à Sex (tarde)

2) VIRTUALMENTE:
Pelo formulário online: https://bit.ly/3zImUTj",,5.0
Ijui,RS,Post,2022-09-07 13:23:39,prefeituradeijui,O Desfile do Bicentenário da Independência contou com 6.000 participantes entre civis e militares.,,283.0
Ijui,RS,Comentario,2022-09-07 14:07:34,bila.dutra16,,Estava lindo. 👏👏👏,
Ijui,RS,Comentario,2022-09-07 15:36:08,douglasdiverio,,Super top,
Ijui,RS,Comentario,2022-09-07 17:13:41,jordadine,,Parabéns a todos 👏👏estava lindo e super organizado 👏👏👏,
Ijui,RS,Comentario,2022-09-08 19:51:50,dr.andrey_criminalista,,🙌🙌🙌👏👏👏,
Ijui,RS,Post,2022-09-06 12:35:37,prefeituradeijui,"O Desfile de 7 de Setembro que ocorre nesta quarta, a partir das 8h em Ijuí, terá transmissão ao vivo.
LIVE do Desfile 

No Facebook da SMED
https://www.facebook.com/smed.ijui

Prefeitura Municipal
https://www.facebook.com/prefeituradeijui

Youtube
https://www.youtube.com/channel/UCnl9PxO1hOD5G1mfWyd83rA",,69.0
Ijui,RS,Post,2022-09-06 12:30:10,prefeituradeijui,"Obra vai mudar a vida da comunidade!
Drenagem está sendo realizada no bairro Getúlio Vargas

As obras de drenagem pluvial já estão em pleno vapor no bairro Getúlio Vargas 2. O local tinha um problema histórico de alagamento que prejudicava os moradores. 

De acordo com o secretário da Smodutran Fábio Franzen, “é um problema histórico que depois de um tempo, com projeto ambiental e de saneamento todo feito a empresa vencedora da licitação já está executando a obra. Foram feitas todas as adequações necessárias, inclusive com a instalação de tubos de 1 metro para o escoamento da água”, explicou Franzen. 

Neste momento as obras estão sendo realizadas no fundo do bairro, na parte final da drenagem e com o passar dos dias passará pelas ruas que dão acesso até a avenida São Luiz. Esta é uma demanda que se arrastava por anos que agora está sendo solucionada pelo município beneficiando toda a comunidade que reside naquela área da cidade. O projeto contempla canalização pluvial com tubulação de 80 e 100cm, duas caixas de passagem e 13 bocas de lobo no trecho da avenida São Luiz até o arroio.",,11.0
Ijui,RS,Comentario,2022-09-07 03:06:28,adrianodemoura1453,,Parabéns.agora fazer um trabalho de tratamento no esgoto para nao poluição dos arroio.,
