Municipio,UF,Post/Coment,Data,Usuario,Comentarios,ComentarioTraduzido,Subjetividade,Polaridade,Analise
Ijui,RS,Comentario,2022-09-07 03:08:12,adrianodemoura1453,Qual seria o tempo máximo permitido?,What would be the maximum time allowed?,0.0,0.0,Neutro
Ijui,RS,Comentario,2022-09-01 13:27:33,schirleikristoschek,Que lindo tudo isso,How beautiful all this,1.0,0.85,Positivo
Ijui,RS,Comentario,2022-09-01 13:58:32,gianicevalle,Parabéns a todos! precisamos resgatar esse amor a nossa pátria!,Congratulations to all of you! We need to rescue this love our homeland!,0.6,0.625,Positivo
Ijui,RS,Comentario,2022-09-01 15:18:44,marcelorigoli,Faltou o agradecimento aos Avengers que salvaram ele na semana passada,Thanks to the Avengers who saved him last week,0.133,0.1,Positivo
Ijui,RS,Comentario,2022-09-01 02:49:58,michellrichard2021,Show!!! Mas o ideal seria publicar qual poderia ser escolhida a melhor gasolina,Show!!! But the ideal would be to publish which could be chosen the best gasoline,0.65,0.95,Positivo
Ijui,RS,Comentario,2022-09-01 11:30:52,wendtalexandre,Parabens,Congratulations,0.0,0.0,Neutro
Ijui,RS,Comentario,2022-09-02 03:38:25,adrianodemoura1453,Quero,I want,0.0,0.0,Neutro
Ijui,RS,Comentario,2022-08-30 14:53:13,leoclaudyy,Viva a nação BRASILEIRA,Live the Brazilian Nation,0.5,0.136,Positivo
Ijui,RS,Comentario,2022-08-29 17:31:53,a.dalsasso,Parabéns a pela iniciativa. Foi memorável!,Congratulations to the initiative. It was memorable!,1.0,0.625,Positivo
Ijui,RS,Comentario,2022-08-30 00:43:41,fer.cosplay,Foi incrível,It was amazing,0.9,0.6,Positivo
Ijui,RS,Comentario,2022-08-29 20:46:17,steurerfabiane,que idade estão vacinando?,What age are vaccinating?,0.0,0.0,Neutro
Ijui,RS,Comentario,2022-08-31 22:46:20,rrosemacedo,Parabéns pela atitude,Congratulations on the attitude,0.0,0.0,Neutro
Ijui,RS,Comentario,2022-08-29 07:29:04,veryvestenafotografia,Infelizmente não sabia. Perdi essa.,Unfortunately I didn't know. I lost this one.,1.0,-0.5,Negativo
Ijui,RS,Comentario,2022-08-29 01:16:41,jakeotavio2014,parabéns...estava show!,Congratulations ... it was a show!,0.0,0.0,Neutro
Ijui,RS,Comentario,2022-08-29 12:54:29,eloaportolan,Parabéns estava muito lindo,Congratulations was very beautiful,1.0,1.0,Positivo
Ijui,RS,Comentario,2022-08-29 00:04:19,tere_escaio,InfelizmenteNão sabia!,Unfortunately I didn't know!,1.0,-0.625,Negativo
Ijui,RS,Comentario,2022-08-29 00:04:56,tere_escaio,Muito legal!,Very cool!,0.845,0.569,Positivo
Ijui,RS,Comentario,2022-08-29 01:26:01,fabriciocosta65,Estou ansioso pro proximo,I am looking forward to next,0.0,0.0,Neutro
Ijui,RS,Comentario,2022-08-28 23:51:32,vanessa.n.rodrigues,Domingo top,Top Sunday,0.5,0.5,Positivo
Ijui,RS,Comentario,2022-08-28 20:43:17,thieleteixeira,"tava muito bom, parabéns","It was very good, congratulations",0.78,0.91,Positivo
Ijui,RS,Comentario,2022-08-28 21:34:31,marialosangelanunes,que show,what a show,0.0,0.0,Neutro
Ijui,RS,Comentario,2022-08-26 19:47:07,nedissongessi,Parabéns e sucesso,Congratulations and success,0.0,0.3,Positivo
Ijui,RS,Comentario,2022-08-26 22:16:53,by_raque,"minha terra natal linda! Só desejo bençãos, alegrias do renovo e sucesso!","My beautiful homeland! I only wish blessings, joys of renewal and success!",0.667,0.458,Positivo
Ijui,RS,Comentario,2022-08-26 21:55:37,tatiwagner,Que trabalho lindo! Que iniciativa maravilhosa! Fico até emocionada em ouvir uma reportagem assim! Parabéns Andrei Ijuí merece! É só saber explorar! Só vai,What a beautiful job! What a wonderful initiative! I'm even thrilled to hear such a report! Congratulations Andrei Ijuí deserves! Just know how to explore! Only goes,0.84,0.52,Positivo
Ijui,RS,Comentario,2022-08-26 17:44:58,jamaicasantos33,Falto o Hulk meu nene adora,I miss Hulk my nene loves,0.0,0.0,Neutro
Acaiaca,MG,Comentario,2021-04-08 01:30:53,cleo_dias26,Tem dengue em Acaiaca??,Do you have dengue in Acaiaca ??,0.0,0.0,Neutro
Acaiaca,MG,Comentario,2021-04-08 06:25:27,mpilar491,Misericórdia!,Compassion!,0.0,0.0,Neutro
Águas Frias,SC,Comentario,2019-10-11 14:52:43,sarardaga,Parabéns,Congratulations,0.0,0.0,Neutro
Águas Frias,SC,Comentario,2019-10-01 23:10:42,instagammer003,se fosse p escolher seria a kamilly,If it were P Choosing it would be Kamilly,0.0,0.0,Neutro
Águas Frias,SC,Comentario,2019-10-02 12:56:55,borillegabriel_05,na torcida!,cheering!,0.0,0.0,Neutro
Águas Frias,SC,Comentario,2019-10-03 10:00:21,alee_simon02,torço por ti,I hope for you,0.0,0.0,Neutro
Águas Frias,SC,Comentario,2019-08-13 22:05:57,jacopzo,Tá fincando bonito,It's pretty pretty,1.0,0.25,Positivo
Águas Frias,SC,Comentario,2019-08-13 22:05:58,jacopzo,Tá fincando bonito,It's pretty pretty,1.0,0.25,Positivo
Agudo,RS,Comentario,2022-09-19 13:09:09,pousada_mate_e_cafe,"como APLAUDIR aos que fazem,aos que se importam,aos que realizam.","How to applaud to those who do, those who care, to those who do.",0.0,0.0,Neutro
Agudo,RS,Comentario,2022-09-19 13:31:16,veramariakittel,Que showwww!,What a showww!,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-09-19 14:11:52,meneghettitais,"Foi uma tarde de aprendizado, interação e muito movimento! Movimento esse que dá ânimo, previne doenças e dá sentido a vida , com amizades, parcerias e diversão! Sou parceira dessas atividades","It was an afternoon of learning, interaction and a lot of movement! This movement that gives mood, prevents disease and gives meaning to life, with friendships, partnerships and fun! I am a partner of these activities",0.2,0.375,Positivo
Agudo,RS,Comentario,2022-09-17 20:44:15,elianelehr20,Parabéns,Congratulations,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-09-17 01:58:18,camilaaunfer,Parabéns!!!,Congratulations!!!,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-09-16 23:09:06,eder.eliana_,Kkkkkkk,Hahahahaha,0.6,0.2,Positivo
Agudo,RS,Comentario,2022-09-18 01:03:09,simone_hoppee,Parabéns!!!,Congratulations!!!,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-09-18 02:07:26,evelyn.aguirre.2022,Grande evolução sin,Great Sin Evolution,0.75,0.8,Positivo
Agudo,RS,Comentario,2022-09-17 22:15:44,astadrescher,"Orgulho desse nosso AGUDO, graças ao nosso Prefeito e Vice. PARABÉNS","Pride of our sharp our, thanks to our mayor and vice. HAPPY BIRTHDAY",0.65,0.292,Positivo
Agudo,RS,Comentario,2022-09-17 00:02:22,denisecavalheirobartmann,"Que maravilha, nosso município está evoluindo, parabéns administração pelo ótimo trabalho desenvolvido para o progresso do nosso município","How wonderful, our municipality is evolving, congratulations administration for the great work developed for the progress of our municipality",0.683,0.633,Positivo
Agudo,RS,Comentario,2022-09-18 16:39:47,fabianeboeck,Parabéns a administração. Valorizando a todos Agudenses.,Congratulations to the Administration. Valuing everyone acudenses.,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-09-16 22:42:28,pretzellisiane,Parabéns vai ficar muito bonito,Congratulations will be very beautiful,1.0,1.0,Positivo
Agudo,RS,Comentario,2022-09-17 11:48:53,rosanepotter,Vai ficar bom. Mas pergunto.... Agudo não tem outras prioridades básicas????,It will be good. But I ask .... acute there is no other basic priorities ????,0.5,0.341,Positivo
Agudo,RS,Comentario,2022-09-16 18:13:59,elen_m_m,Pode fazer visitas?,Can you make visits?,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-09-15 23:27:23,veramariakittel,Parabéns!,Congratulations!,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-09-16 01:21:28,elen_m_m,parabéns,Happy birthday,1.0,0.8,Positivo
Agudo,RS,Comentario,2022-09-15 23:23:45,veramariakittel,Muito bom!,Very good!,0.78,1.0,Positivo
Agudo,RS,Comentario,2022-09-15 21:31:55,djulines,Ficou lindoooo,It was beautiful,1.0,0.85,Positivo
Agudo,RS,Comentario,2022-09-15 23:17:38,kerlenroos,Ficou top demais!!,It was too top !!,0.5,0.781,Positivo
Agudo,RS,Comentario,2022-09-16 01:02:12,sirlei.bender.7,Até que enfim Agudo tem um termômetro desses.,Until finally it has such a thermometer.,0.75,0.0,Neutro
Agudo,RS,Comentario,2022-09-16 16:12:57,veramariakittel,Parabéns!,Congratulations!,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-09-12 01:04:51,glaucia_heffel2022,"quero muito que minha filha participe, como faço?","I really want my daughter to participate, how do I do?",0.2,0.2,Positivo
Agudo,RS,Comentario,2022-09-08 12:21:54,acf_futsal.ofc,Os home são d mais,Men are more,0.5,0.5,Positivo
Agudo,RS,Comentario,2022-09-05 17:51:17,veramariakittel,Parabéns!,Congratulations!,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-09-05 19:04:31,sekaaguirre,Parabéns e sucesso sempre pra vcs!,Congratulations and success always for you!,0.0,0.375,Positivo
Agudo,RS,Comentario,2022-09-05 23:04:16,bleymuller,Parabéns,Congratulations,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-09-18 02:46:14,julianavargasdeoliveira,Eu vou,I will go,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-08-28 00:16:26,neuzamarialves,Parabéns!!,Congratulations!!,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-09-10 13:35:29,saa_senger,Que lugar fantástico,What a fantastic place,0.9,0.4,Positivo
Agudo,RS,Comentario,2022-08-27 13:19:27,marlene38damaceno,Top quero voltar lá.,Top I want to go back there.,0.25,0.25,Positivo
Agudo,RS,Comentario,2022-08-27 19:14:32,liangeflores,Como chegar ai?,How to get there?,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-08-27 13:36:53,greice.falk,Lugar lindo! Vale muito a pena conhecer,Beautiful place! It is very worth knowing,0.565,0.695,Positivo
Agudo,RS,Comentario,2022-08-27 14:14:17,cabreraaudiovisual,Esse lugar e essa vista do valeeeee,This place and this view of Valeeeee,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-08-27 14:39:37,camilaaunfer,Eu amo esse lugar!!!!!,I love this place!!!!!,0.6,1.0,Positivo
Agudo,RS,Comentario,2022-08-27 15:19:06,eduluissulzbacher,Quando vai ter de novo ?,When will you have again?,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-09-01 01:28:27,ivanianafriedrich,"Tenho momentos muito significativos e de realização pessoal nessa cascata. Onde, na década de 90 houve um concurso de Rei e de Rainha da Cascata. E eu fui e ainda sou a Rainha dessa lindeza, com muito orgulho.","I have very significant moments and personal fulfillment in this waterfall. Where, in the 90's there was a King and Queen of the Waterfall contest. And I went and I'm still the queen of this beautiful, with great pride.",0.762,0.534,Positivo
Agudo,RS,Comentario,2022-08-30 23:34:28,annemw8,Belíssimo lugar!,Wonderful place!,1.0,1.0,Positivo
Agudo,RS,Comentario,2022-09-01 01:19:01,ivanianafriedrich,Linda essa cascata.,Beautiful this waterfall.,1.0,0.85,Positivo
Agudo,RS,Comentario,2022-08-27 14:48:56,recanto.dasfrutas,Essa cascata é um dos pontos turísticos mais lindos aqui de Agudo e é pertinho aqui do Recanto das Frutas! Venham conhecer,This waterfall is one of the most beautiful sights here of Agudo and is close here from Recanto das Fruits! Come meet,0.75,0.75,Positivo
Agudo,RS,Comentario,2022-08-24 01:59:10,neuzamarialves,Parabéns!!,Congratulations!!,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-08-24 01:45:23,prof.flaviafernandes,"Profs maravilhosas!! Foi um prazer estar com vcs hoje, neste ambiente de troca de aprendizagens!","WONDERFUL PROFS !! It was a pleasure to be with you today, in this environment of learning exchange!",1.0,1.0,Positivo
Agudo,RS,Comentario,2022-08-20 00:20:44,neuzamarialves,Perfeito!,Perfect!,1.0,1.0,Positivo
Agudo,RS,Comentario,2022-08-16 20:15:25,veramariakittel,Parabéns formandos! Parabéns a todos os envolvidos!,Congratulations graduates! Congratulations to all involved!,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-08-16 22:25:39,mariarosangelaribeiror,Demais esses momentos!,Too much these moments!,0.2,0.25,Positivo
Agudo,RS,Comentario,2022-08-16 19:39:58,veramariakittel,Vacinar é importante!,Vacing is important!,1.0,0.5,Positivo
Agudo,RS,Comentario,2022-08-15 21:09:10,elen_m_m,Que lindeza!!! Ser patriota é isso.,How beautiful !!! Being patriot is that.,1.0,1.0,Positivo
Agudo,RS,Comentario,2022-08-15 22:18:38,martaeleonora73,Grande,Great,0.75,0.8,Positivo
Agudo,RS,Comentario,2022-08-12 14:42:10,neuzamarialves,Excelente iniciativa! Parabéns!!,Excellent initiative! Congratulations!!,1.0,1.0,Positivo
Agudo,RS,Comentario,2022-08-13 20:10:28,veramariakittel,Vivaaaa!,Vivaaaa!,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-08-11 23:58:32,elen_m_m,Que linda atitude,What a beautiful attitude,1.0,0.85,Positivo
Agudo,RS,Comentario,2022-08-12 00:00:30,elen_m_m,Agudo é uma das cidades mais organizadas e lindas do RS. Parabéns por esta gestão impecável,Acute is one of the most organized and beautiful cities in RS. Congratulations on this impeccable management,0.788,0.675,Positivo
Agudo,RS,Comentario,2022-08-11 00:00:43,veramariakittel,Vivaaaaaa!,Vivaaaaaa!,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-08-10 19:27:48,circomariotti,Espetacular,Amazing,0.9,0.6,Positivo
Agudo,RS,Comentario,2022-08-11 01:26:36,wrassedanusa,Demais Ótimo trabalho,Too much great job,0.75,0.8,Positivo
Agudo,RS,Comentario,2022-08-08 12:38:57,ivana_goltz,Showww,Showww,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-08-08 16:02:31,cristianehettwer,Parabéns pela iniciativa,Congratulations for the initiative,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-08-06 15:21:57,mauriciobarchet,Esporte presente cada vez mais nas políticas públicas,Sporting sport increasingly in public policies,0.067,0.0,Neutro
Agudo,RS,Comentario,2022-07-30 20:54:28,arteefestaagudo,Showww de bola,Cool,0.65,0.35,Positivo
Agudo,RS,Comentario,2022-07-31 00:36:17,dieimi_flores,Maravilha,Wonderful,1.0,1.0,Positivo
Agudo,RS,Comentario,2022-07-29 14:36:27,tiago_menezzes,voaaa bro,voaaa bro,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-07-27 12:06:42,_odetesantos_,Parabéns bela homenagem a uma pessoa querida que sempre incentivou o esporte em Agudo. Taça Ilo Friedrich,Congratulations beautiful tribute to a dear person who always encouraged the sport in Agudo. Ilo Friedrich Cup,1.0,0.85,Positivo
Agudo,RS,Comentario,2022-07-26 23:06:58,dieniferzitzmann,"Parabéns Agudo pelo incentivo ao esporte, isso será marcado para essas crianças pra sempre.","Keeping acute for the encouragement of the sport, this will be scheduled for these children forever.",0.9,0.6,Positivo
Agudo,RS,Comentario,2022-07-26 23:17:57,carlaandreaschiefelbein,"Parabéns Agudo pelo incentivo ao esporte, as crianças são o futuro sempre!!","Keeping acute for the encouragement of sport, children are the future always !!",0.512,0.3,Positivo
Agudo,RS,Comentario,2022-07-26 23:10:25,quintal.agudo,Que baita iniciativa Parabéns,What a huge initiative congratulations,0.9,0.4,Positivo
Agudo,RS,Comentario,2022-07-27 00:02:51,jacksonsalvan,"Parabéns pela iniciativa , show, lindo de verrrr","Congratulations on the initiative, show, beautiful to see",1.0,0.85,Positivo
Agudo,RS,Comentario,2022-07-26 23:10:56,katiagadr,Parabéns a Prefeitura de Agudo e todos envolvidos nesse belo trabalho!!!,Congratulations to the City of Agudo and all involved in this beautiful work !!!,1.0,1.0,Positivo
Agudo,RS,Comentario,2022-07-26 23:53:39,elen_m_m,Que bacana!,What a cool thing!,0.65,0.438,Positivo
Agudo,RS,Comentario,2022-07-25 23:31:33,leonora_drescher,Parabéns as meninas lindas de Agudo Terra das mulheres bonitas Eu também nasci em agudo,Congratulations to the beautiful girls of sharp land of beautiful women I was also born in sharp,0.875,0.362,Positivo
Agudo,RS,Comentario,2022-08-31 12:38:09,elen_m_m,Lugar lindo,Beautiful place,1.0,0.85,Positivo
Agudo,RS,Comentario,2022-08-10 01:36:53,clovisthesing,Eu fui,I was,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-07-14 20:18:29,faxinaldosoturnors,Agradecemos a visita e nos vemos na Volksfest!,We thank you for the visit and see you at Volksfest!,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-07-16 18:03:28,leonora_drescher,lindas,beautiful,1.0,0.85,Positivo
Agudo,RS,Comentario,2022-07-14 12:28:07,lidianeoliveirabe,"Vocês são top DEMAIS, sério!!! A cada dia uma inovação","You are too top, seriously !!! Every day an innovation",0.583,-0.076,Negativo
Agudo,RS,Comentario,2022-07-14 12:32:02,governancabrasil,"Orgulho por fazer parte desse projeto, e através da transformação digital, contribuir para uma vida melhor aos cidadãos de Agudo","Proud to be part of this project, and through digital transformation, contribute to a better life to the citizens of acute",0.6,0.475,Positivo
Agudo,RS,Comentario,2022-07-11 21:16:10,jucelainipotter,Foto de Claudete Astrid Thom Sell,CLAUDETE ASTRID THOM SELL PHOTO,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-07-12 21:33:43,lojadaalineagudo,Maiza nataly parabéns,Maiza natory congratulations,0.0,0.0,Neutro
Agudo,RS,Comentario,2022-07-13 22:35:55,dorisunfer9,Lindoooooo,Lindoooooo,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-09-08 23:21:32,omaninhoantunes,Obrigado,Thanks,0.2,0.2,Positivo
Ajuricaba,RS,Comentario,2022-09-08 23:27:16,omaninhoantunes,Logo estamos ai,Soon we are there,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-08-06 00:22:12,chagas_brunoc,Agora sim,Now yes,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-08-06 00:39:13,lettyciaregina,Parabéns,Congratulations,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-08-06 00:59:04,neidaavila12,Parabéns Ajuricaba,Congratulations Ajuricaba,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-07-16 22:28:52,omaninhoantunes,Bora derreter,Bora melt,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-07-15 17:29:28,alessandraleves,Bora,Bora,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-05-25 13:43:34,valdirstephanini,Também amo muito está cidade onde nasci e vivi até meus 19 anos.,I also love it is a city where I was born and lived until I was 19 years old.,0.4,0.3,Positivo
Ajuricaba,RS,Comentario,2022-05-25 20:07:06,nicodoterra,"Cidade da minha família paterna, onde vivi por um curto período dos meus tempos de guri na linha 21.","City of my paternal family, where I lived for a short period of my Guri days on line 21.",0.3,0.0,Neutro
Ajuricaba,RS,Comentario,2022-05-27 20:53:05,rosabuchanelli,minha terra Natal amo muito Ajuricaba um dia pretendo voltar se Deus quiser,my homeland love a lot of ajuricaba one day I want to come back if God wants,0.233,0.233,Positivo
Ajuricaba,RS,Comentario,2022-05-28 02:01:02,maristela_sasso,Estamos morando em outra cidade mas Ajuricaba mora nos nossos Deus abençoe Ajuricaba e todos os que nela vivem !Parabéns Ajuricaba!!! Em breve voltaremos as nossas raízes!,We are living in another city but Ajuricaba lives in our God bless Ajuricaba and all who live in it! Congratulations Ajuricaba !!! Soon we will return to our roots!,0.5,0.416,Positivo
Ajuricaba,RS,Comentario,2022-05-24 21:40:23,alinedamianmarque,Parabéns,Congratulations,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-05-24 22:23:25,chagas_brunoc,Faz falta um busto do Janguinho também,A janguinho bust is missing too,0.05,-0.2,Negativo
Ajuricaba,RS,Comentario,2022-05-24 22:25:27,ivonerasador,Muito bom,Very good,0.78,0.91,Positivo
Ajuricaba,RS,Comentario,2022-05-24 22:49:39,yaszxv_yasmin,Achei lindoo,I found it beautiful,1.0,0.85,Positivo
Ajuricaba,RS,Comentario,2022-05-24 23:54:43,karinakaufmannn,Parabéns,Congratulations,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-05-25 00:28:41,joicecamilarasador,Que lindo,How beautiful,1.0,0.85,Positivo
Ajuricaba,RS,Comentario,2022-05-25 00:30:13,joicecamilarasador,Que lindo,How beautiful,1.0,0.85,Positivo
Ajuricaba,RS,Comentario,2022-05-25 01:26:24,cilibohn,Parabéns!!!!,Congratulations!!!!,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-05-25 02:30:45,samuelsilasdas,Pelo menos um capricho amais aí parabéns,At least one whim loves there congratulations,0.4,-0.3,Negativo
Ajuricaba,RS,Comentario,2022-05-25 23:27:28,ivonerasador,Muito bom,Very good,0.78,0.91,Positivo
Ajuricaba,RS,Comentario,2022-05-27 00:16:58,marciasilva1262,parabéns,Happy birthday,1.0,0.8,Positivo
Ajuricaba,RS,Comentario,2022-04-22 01:44:19,elainemarlipiesanti,"Valeu, Mimi. Tu é fera","Thanks, Mimi. You are Beast",0.2,0.2,Positivo
Ajuricaba,RS,Comentario,2022-04-22 17:22:31,valdirstephanini,"Parabéns, Fernando","Congratulations, Fernando",0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-04-23 01:34:05,clenicebrigo,Parabéns Fernando que Shou,Congratulations Fernando who shou,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-04-21 16:53:13,elainemarlipiesanti,Tá rolando,It's rolling,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-04-21 04:49:18,alexandrehoring,Moleza;e o que será a premiaçao?,Molleza; And what will the awards be?,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-03-30 11:43:54,ro_durks,Depois qe inventaram a polvora o bodoqe ja eras kkkkkk,After they invented the octopher the bodoque already kkkkkk,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-03-29 20:43:25,valdirstephanini,"Parabéns pela participação, JH. Você é ""o cara"".","Congratulations on your participation, JH. You are the man"".",0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-03-28 20:20:14,scheilaarenamassoterapeuta,Parabéns meninas. No próximo estarei presente também,Congratulations girls. Next time I will be present too,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-03-23 21:13:48,chagas_brunoc,"Tá loco que cachaça do Ziede é imprópria, judiaria isso aí.","Okay that Cachaça do Ziede is inappropriate, heard that there.",0.5,0.5,Positivo
Ajuricaba,RS,Comentario,2022-03-24 10:48:46,edisonmallmann,"Sacanagem,","Slutty,",0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-03-21 13:48:56,merilinoficial,Parabéns! De extrema importância!,Congratulations! Extremely important!,1.0,0.5,Positivo
Ajuricaba,RS,Comentario,2022-03-15 23:51:15,rosandroandrebrigo,Mas q tal,But how about,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-03-16 00:02:20,piesanticlarissa,Mas que legal,That's cool,0.65,0.35,Positivo
Ajuricaba,RS,Comentario,2022-03-16 00:19:31,marcelisippert,Quando vai ser esse torneio,When this tournament will be,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-03-16 00:20:53,eneiasfeiden,Patrocínio do Bagolim kkkkkkk,Bagoline Sponsorship Kkkkkkk,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-03-16 00:50:01,itsmacdj,Aí simm! Hahah,Oh yes! Haha ha,0.3,0.2,Positivo
Ajuricaba,RS,Comentario,2022-03-17 01:54:25,elainemarlipiesanti,Muito show,Great,0.75,0.8,Positivo
Ajuricaba,RS,Comentario,2022-02-25 14:21:00,elainemarlipiesanti,nossa.,Wow.,1.0,0.1,Positivo
Ajuricaba,RS,Comentario,2022-02-22 19:38:48,scheilaarenamassoterapeuta,Parabéns galera,Congratulations guys,0.0,0.0,Neutro
Ajuricaba,RS,Comentario,2022-02-15 01:45:15,anita_lacorte_de_lara,Sucesso,Success,0.0,0.3,Positivo
Ajuricaba,RS,Comentario,2022-02-15 03:09:40,shirleitoso,"Parabéns, sucesso","Congratulations, success",0.0,0.3,Positivo
Ajuricaba,RS,Comentario,2022-01-13 13:42:17,neidaavila12,Com a seca e ainda destruindo a natureza!!,With the drought and still destroying nature !!,0.0,-0.312,Negativo
Ajuricaba,RS,Comentario,2022-01-13 13:59:28,tiagohermann14,Seca ganância alta de tudo qwe Brasil é esse!!!,Dry high greed of everything qwe brazil is this !!!,0.57,0.123,Positivo
Ajuricaba,RS,Comentario,2022-01-13 14:10:56,tiagohermann14,Seca ganância alta de tudo qwe Brasil é esse!!!,Dry high greed of everything qwe brazil is this !!!,0.57,0.123,Positivo
Ajuricaba,RS,Comentario,2021-12-17 00:04:14,gejdjfjfjcnbdnd,Sucesso para vcs,Success for you,0.0,0.3,Positivo
Ajuricaba,RS,Comentario,2021-12-17 00:14:29,ivone_pettenon,Sucesso para vcs,Success for you,0.0,0.3,Positivo
Ajuricaba,RS,Comentario,2021-12-17 02:27:00,elainemarlipiesanti,Ficou linda a loja,The store was beautiful,1.0,0.85,Positivo
Ajuricaba,RS,Comentario,2021-12-17 02:45:37,fran_unhasgallert,Parabéns querida sucesso sempre,Congratulations dear success always,0.0,0.3,Positivo
Ajuricaba,RS,Comentario,2021-12-17 10:06:20,oliveiragomesa,parabéns sucesso,"congratulations, success",0.0,0.3,Positivo
Ajuricaba,RS,Comentario,2021-12-18 15:56:12,monica.serafini.125,Parabéns!! Sucesso,Congratulations!! Success,0.0,0.3,Positivo
Ajuricaba,RS,Comentario,2021-12-06 01:41:14,scheilaarenamassoterapeuta,Parabéns pelo evento,Congratulations on the event,0.0,0.0,Neutro
