Municipio,UF,Post/Coment,Data,Usuario,Comentarios,Polaridade,Emoji,Analise
Ijui,RS,Comentario,2022-08-28 23:51:32,vanessa.n.rodrigues,['U0001f44f'],0.2,👏,Positivo
Ijui,RS,Comentario,2022-08-28 18:29:53,gasparotto.rs,"['U0001f64c', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,🙌👏,Positivo
Ijui,RS,Comentario,2022-08-28 20:43:17,thieleteixeira,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Ijui,RS,Comentario,2022-08-28 21:34:31,marialosangelanunes,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Ijui,RS,Comentario,2022-08-28 22:23:54,fabemour,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Ijui,RS,Comentario,2022-08-28 23:40:17,cristyannegross,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Ijui,RS,Comentario,2022-08-29 12:55:19,eloaportolan,"['U0001f60d', 'U0001f60d', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.2,😍👏,Positivo
Ijui,RS,Comentario,2022-08-28 13:14:20,bernadete_za,"['U0001f44f', 'u2764']",0.4,👏❤,Positivo
Ijui,RS,Comentario,2022-08-26 19:35:33,simone.nicoletti.142,"['U0001f44f', 'U0001f44f']",0.4,👏,Positivo
Ijui,RS,Comentario,2022-08-26 19:59:55,davanti_store,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.0,👏,Positivo
Ijui,RS,Comentario,2022-08-26 20:00:54,bem_seguro,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Ijui,RS,Comentario,2022-08-26 22:16:53,by_raque,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f490']",0.8,👏💐,Positivo
Ijui,RS,Comentario,2022-08-26 21:13:39,bbiancaely,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Ijui,RS,Comentario,2022-08-28 20:28:45,marcoaureliosikacz,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Ijui,RS,Comentario,2022-08-26 22:15:23,bernadete_za,"['U0001f44f', 'U0001f64c', 'u2764']",0.6000000000000001,👏🙌❤,Positivo
Ijui,RS,Comentario,2022-08-27 02:59:44,cma_ijui,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.0,👏,Positivo
Ijui,RS,Comentario,2022-08-27 10:58:56,mecautor,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Ijui,RS,Comentario,2022-08-26 21:55:37,tatiwagner,"['U0001f680', 'U0001f680', 'U0001f680', 'U0001f680', 'U0001f51d', 'U0001f4af', 'U0001f4af', 'U0001f4af', 'U0001f4af']",0.6000000000000001,🚀🔝💯,Positivo
Acaiaca,MG,Comentario,2021-04-10 00:29:50,andreia.marinho.75436,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.0,👏,Positivo
Águas Frias,SC,Comentario,2019-11-29 14:16:19,jefersonjefeds,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Águas Frias,SC,Comentario,2019-10-11 14:52:43,sarardaga,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Águas Frias,SC,Comentario,2019-10-11 17:03:44,maiquelevicente,"['U0001f44f', 'U0001f44f']",0.4,👏,Positivo
Águas Frias,SC,Comentario,2019-10-11 14:56:43,deizigalleazzi,['u2764'],0.2,❤,Positivo
Águas Frias,SC,Comentario,2019-10-09 16:04:37,alieteantoniak,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Águas Frias,SC,Comentario,2019-10-07 15:45:02,juucassol,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.2,👏,Positivo
Águas Frias,SC,Comentario,2019-10-07 19:49:19,edmassessoria,"['U0001f609', 'U0001f64c', 'U0001f389', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.7999999999999998,😉🙌🎉👏,Positivo
Águas Frias,SC,Comentario,2019-10-01 23:10:42,instagammer003,['U0001f60d'],0.2,😍,Positivo
Águas Frias,SC,Comentario,2019-10-02 03:29:54,brenocoleti,['u2764'],0.2,❤,Positivo
Águas Frias,SC,Comentario,2019-10-02 12:56:55,borillegabriel_05,['U0001f495'],0.2,💕,Positivo
Águas Frias,SC,Comentario,2019-10-03 10:00:21,alee_simon02,['u2764'],0.2,❤,Positivo
Águas Frias,SC,Comentario,2019-09-19 21:27:16,sarasegalacardozo,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.2,👏,Positivo
Águas Frias,SC,Comentario,2019-08-25 09:35:39,denisdionata,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Águas Frias,SC,Comentario,2019-08-19 21:04:56,jaquelmac,['U0001f44b'],0.2,👋,Positivo
Águas Frias,SC,Comentario,2019-08-13 22:05:57,jacopzo,"['U0001f44f', 'U0001f3fc', 'U0001f44a', 'U0001f3fb']",0.4,👏👊,Positivo
Águas Frias,SC,Comentario,2019-08-13 22:05:58,jacopzo,"['U0001f44f', 'U0001f3fc', 'U0001f44a', 'U0001f3fb']",0.4,👏👊,Positivo
Águas Frias,SC,Comentario,2019-08-03 10:16:59,gilmar.goncalve,"['U0001f4aa', 'U0001f4aa', 'U0001f4aa', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.2,💪👏,Positivo
Agudo,RS,Comentario,2022-09-19 13:09:09,pousada_mate_e_cafe,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f60d', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f339', 'U0001f618']",2.1999999999999997,👏😍🌹😘,Positivo
Agudo,RS,Comentario,2022-09-19 13:31:16,veramariakittel,"['U0001f49b', 'U0001f49b', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",1.2,💛👏,Positivo
Agudo,RS,Comentario,2022-09-19 14:11:52,meneghettitais,"['U0001f64c', 'U0001f60d', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.0,🙌😍👏,Positivo
Agudo,RS,Comentario,2022-09-16 22:57:40,marileneprader,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-09-17 20:44:15,elianelehr20,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-09-16 20:24:00,renatacarvalhok,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.2,👏,Positivo
Agudo,RS,Comentario,2022-09-16 21:01:44,dasilvapuhl,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-09-17 01:58:18,camilaaunfer,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-09-17 10:50:59,jefersonstahl,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-09-17 22:13:41,lisaniseiffert,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-09-18 01:03:09,simone_hoppee,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-09-16 22:30:56,elisamb_,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-09-16 21:20:44,lucibeling,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'u2764']",1.4,👏❤,Positivo
Agudo,RS,Comentario,2022-09-17 22:15:44,astadrescher,['U0001f44f'],0.2,👏,Positivo
Agudo,RS,Comentario,2022-09-17 00:02:22,denisecavalheirobartmann,"['U0001f64f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,🙏👏,Positivo
Agudo,RS,Comentario,2022-09-16 22:07:04,wendt_simone,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.0,👏,Positivo
Agudo,RS,Comentario,2022-09-16 22:42:28,pretzellisiane,"['U0001f44f', 'U0001f44f']",0.4,👏,Positivo
Agudo,RS,Comentario,2022-09-16 18:07:50,renatacarvalhok,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.2,👏,Positivo
Agudo,RS,Comentario,2022-09-15 23:27:23,veramariakittel,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.0,👏,Positivo
Agudo,RS,Comentario,2022-09-16 01:21:28,elen_m_m,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.4,👏,Positivo
Agudo,RS,Comentario,2022-09-15 23:23:45,veramariakittel,"['U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-09-15 21:15:47,gabrielspuhl,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-09-15 21:31:55,djulines,"['U0001f44f', 'U0001f44f', 'U0001f9e1', 'U0001f49a']",0.6000000000000001,👏💚,Positivo
Agudo,RS,Comentario,2022-09-15 21:57:37,pyetrastahl,"['U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-09-16 01:02:12,sirlei.bender.7,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-09-16 16:12:57,veramariakittel,"['U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-09-14 17:19:18,moacirherbstrith,['u2764'],0.2,❤,Positivo
Agudo,RS,Comentario,2022-09-14 17:19:27,moacirherbstrith,['u2764'],0.2,❤,Positivo
Agudo,RS,Comentario,2022-09-09 21:37:58,martharoos,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-09-12 01:04:51,glaucia_heffel2022,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-09-17 01:30:05,rafael_klein_muller_,"['U0001f44f', 'U0001f44f']",0.4,👏,Positivo
Agudo,RS,Comentario,2022-09-08 13:10:31,veramariakittel,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.7999999999999998,👏,Positivo
Agudo,RS,Comentario,2022-09-08 12:21:54,acf_futsal.ofc,"['U0001f44f', 'U0001f44f']",0.4,👏,Positivo
Agudo,RS,Comentario,2022-09-07 17:47:06,veramariakittel,"['U0001f1e7\\\\U0001f1f7', 'U0001f7e2', 'U0001f7e1', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-09-05 17:51:17,veramariakittel,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-09-05 23:04:16,bleymuller,['U0001f44f'],0.2,👏,Positivo
Agudo,RS,Comentario,2022-09-02 14:01:52,veramariakittel,"['U0001f1e7\\\\U0001f1f7', 'U0001f7e2', 'U0001f7e1', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",1.4,👏,Positivo
Agudo,RS,Comentario,2022-09-18 02:46:14,julianavargasdeoliveira,['u2764'],0.2,❤,Positivo
Agudo,RS,Comentario,2022-08-28 00:16:26,neuzamarialves,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-09-10 13:35:29,saa_senger,"['U0001f60d', 'U0001f60d', 'U0001f60d']",0.6000000000000001,😍,Positivo
Agudo,RS,Comentario,2022-08-30 15:58:09,prefagudo,"['U0001f60d', 'U0001f60d', 'U0001f60d']",0.6000000000000001,😍,Positivo
Agudo,RS,Comentario,2022-08-28 02:38:28,sandymullersoares,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-08-27 13:19:27,marlene38damaceno,['U0001f64c'],0.2,🙌,Positivo
Agudo,RS,Comentario,2022-08-27 13:36:53,greice.falk,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-08-27 14:14:17,cabreraaudiovisual,"['U0001f60d', 'U0001f60d', 'U0001f60d']",0.6000000000000001,😍,Positivo
Agudo,RS,Comentario,2022-08-27 14:39:37,camilaaunfer,"['U0001f60d', 'u2764']",0.4,😍❤,Positivo
Agudo,RS,Comentario,2022-08-27 15:19:06,eduluissulzbacher,['U0001f616'],-0.2,😖,Negativo
Agudo,RS,Comentario,2022-08-30 23:34:28,annemw8,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-08-27 14:48:56,recanto.dasfrutas,['U0001f49a'],0.2,💚,Positivo
Agudo,RS,Comentario,2022-08-24 20:51:14,veramariakittel,"['U0001f49b', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",1.4,💛👏,Positivo
Agudo,RS,Comentario,2022-08-23 20:19:53,nadia.adriana,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-08-24 01:59:10,neuzamarialves,"['u2764', 'U0001f382', 'U0001f3b6', 'U0001f389', 'U0001f388', 'U0001f389', 'U0001f4d6', 'U0001f4f0', 'U0001f4c4', 'U0001f5de', 'U0001f4d1', 'U0001f942', 'U0001f37e', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",2.3,❤🎂🎶🎉🎈📖📰📄👏,Positivo
Agudo,RS,Comentario,2022-08-24 01:45:23,prof.flaviafernandes,"['U0001f64c', 'u2764']",0.4,🙌❤,Positivo
Agudo,RS,Comentario,2022-08-23 21:19:56,elen_m_m,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-20 00:20:44,neuzamarialves,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-08-19 21:01:20,gabrielspuhl,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-08-18 19:11:28,renatacarvalhok,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-16 20:02:56,gabrielspuhl,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-16 20:15:25,veramariakittel,"['U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-17 01:25:33,andreiaclaudiohoppe,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-16 19:39:58,veramariakittel,"['U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-15 23:30:08,neuzamarialves,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-15 23:04:23,elianelehr20,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-08-15 21:15:43,opedrolorentz,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-08-16 00:23:57,gabrielspuhl,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-08-18 09:43:28,semildoclair,['U0001f44f'],0.2,👏,Positivo
Agudo,RS,Comentario,2022-08-12 14:42:10,neuzamarialves,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-13 15:39:05,circomariotti,"['U0001f60d', 'U0001f60d']",0.4,😍,Positivo
Agudo,RS,Comentario,2022-08-13 20:10:28,veramariakittel,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-12 13:00:28,elen_m_m,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-13 20:54:41,veramariakittel,"['U0001f44d', 'U0001f3fb', 'U0001f44d', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",1.2,👍👏,Positivo
Agudo,RS,Comentario,2022-08-11 23:18:53,veramariakittel,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.9999999999999998,👏,Positivo
Agudo,RS,Comentario,2022-08-11 23:58:32,elen_m_m,"['U0001f44f', 'U0001f44f']",0.4,👏,Positivo
Agudo,RS,Comentario,2022-08-12 00:00:30,elen_m_m,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-11 00:00:43,veramariakittel,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-10 19:27:48,circomariotti,"['U0001f60d', 'U0001f3aa']",0.4,😍🎪,Positivo
Agudo,RS,Comentario,2022-08-10 19:31:52,bruno.mariotti,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-11 01:26:36,wrassedanusa,"['u2764', 'U0001f64c', 'U0001f44f', 'U0001f3fc']",0.6000000000000001,❤🙌👏,Positivo
Agudo,RS,Comentario,2022-08-10 14:28:58,lidianeoliveirabe,"['u2764', 'u2764', 'u2764']",0.6000000000000001,❤,Positivo
Agudo,RS,Comentario,2022-08-08 12:38:57,ivana_goltz,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-08 16:02:31,cristianehettwer,"['U0001f44f', 'U0001f44f']",0.4,👏,Positivo
Agudo,RS,Comentario,2022-08-06 15:21:57,mauriciobarchet,"['U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb', 'U0001f44f', 'U0001f3fb']",0.8,👏,Positivo
Agudo,RS,Comentario,2022-08-05 15:40:54,veramariakittel,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.9999999999999998,👏,Positivo
Agudo,RS,Comentario,2022-08-04 21:45:15,veramariakittel,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.9999999999999998,👏,Positivo
Agudo,RS,Comentario,2022-08-01 18:24:30,elen_m_m,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.2,👏,Positivo
Agudo,RS,Comentario,2022-07-30 20:14:43,gabrielspuhl,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-07-30 20:54:28,arteefestaagudo,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-07-31 00:36:17,dieimi_flores,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Agudo,RS,Comentario,2022-07-29 14:36:27,tiago_menezzes,"['U0001f525', 'U0001f4aa', 'U0001f3ff', 'u26bd']",0.30000000000000004,🔥💪⚽,Positivo
Agudo,RS,Comentario,2022-07-26 23:43:39,louisecampos_,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.0,👏,Positivo
Agudo,RS,Comentario,2022-07-27 11:48:02,tatiane.francisco.7,"['u2764', 'u2764', 'U0001f525', 'U0001f525', 'U0001f525']",0.10000000000000003,❤🔥,Positivo
Agudo,RS,Comentario,2022-07-27 12:06:42,_odetesantos_,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.0,👏,Positivo
Agudo,RS,Comentario,2022-07-26 23:06:58,dieniferzitzmann,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.2,👏,Positivo
Agudo,RS,Comentario,2022-07-26 23:17:57,carlaandreaschiefelbein,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'u2764']",0.8,👏❤,Positivo
